time,action
0.4,RUNNING
0.8,RUNNING
1.2,RUNNING
1.6,RUNNING
2.0,RUNNING
2.4,RUNNING
2.8,RUNNING
3.2,RUNNING
3.6,RUNNING
4.0,RUNNING
4.4,RUNNING
4.8,RUNNING
5.2,RUNNING
5.6,RUNNING
6.0,RUNNING
6.4,RUNNING
6.8,RUNNING
7.2,RUNNING
7.6,RUNNING
8.0,RUNNING
8.4,RUNNING
8.8,RUNNING
9.2,RUNNING
9.6,RUNNING
10.0,RUNNING
10.4,RUNNING
10.8,RUNNING
11.2,RUNNING
11.6,RUNNING
12.0,RUNNING
12.4,RUNNING
12.8,RUNNING
13.2,RUNNING
13.6,RUNNING
14.0,RUNNING
14.4,RUNNING
14.8,RUNNING
15.2,RUNNING
15.6,RUNNING
16.0,WARNING
16.4,WARNING
16.8,WARNING
17.2,WARNING
17.6,WARNING
18.0,WARNING
18.4,WARNING
18.8,WARNING
19.2,WARNING
19.6,WARNING
20.0,WARNING
20.4,WARNING
20.8,WARNING
21.2,RUNNING
21.6,RUNNING
22.0,RUNNING
22.4,RUNNING
22.8,RUNNING
23.2,RUNNING
23.6,RUNNING
24.0,RUNNING
24.4,RUNNING
24.8,RUNNING
25.2,RUNNING
25.6,WARNING
26.0,WARNING
26.4,WARNING
26.8,WARNING
27.2,WARNING
27.6,WARNING
28.0,WARNING
28.4,WARNING
28.8,WARNING
29.2,WARNING
29.6,WARNING
30.0,RUNNING
30.4,RUNNING
30.8,RUNNING
31.2,RUNNING
31.6,RUNNING
32.0,RUNNING
32.4,RUNNING
32.8,RUNNING
33.2,RUNNING
33.6,RUNNING
34.0,WARNING
34.4,WARNING
34.8,WARNING
35.2,WARNING
35.6,WARNING
36.0,WARNING
36.4,WARNING
36.8,WARNING
37.2,WARNING
37.6,WARNING
38.0,WARNING
38.4,WARNING
38.8,WARNING
39.2,WARNING
39.6,RUNNING
40.0,RUNNING
40.4,RUNNING
40.8,RUNNING
41.2,RUNNING
41.6,RUNNING
42.0,RUNNING
42.4,RUNNING
42.8,RUNNING
43.2,RUNNING
43.6,WARNING
44.0,WARNING
44.4,WARNING
44.8,WARNING
45.2,WARNING
45.6,WARNING
46.0,WARNING
46.4,WARNING
46.8,WARNING
47.2,WARNING
47.6,RUNNING
48.0,RUNNING
48.4,RUNNING
48.8,RUNNING
49.2,RUNNING
49.6,RUNNING
50.0,RUNNING
50.4,RUNNING
50.8,RUNNING
51.2,WARNING
51.6,WARNING
52.0,WARNING
52.4,WARNING
52.8,WARNING
53.2,WARNING
53.6,WARNING
54.0,WARNING
54.4,WARNING
54.8,WARNING
55.2,WARNING
55.6,RUNNING
56.0,RUNNING
56.4,RUNNING
56.8,RUNNING
57.2,RUNNING
57.6,RUNNING
58.0,RUNNING
58.4,RUNNING
58.8,RUNNING
59.2,RUNNING
59.6,WARNING
60.0,WARNING
60.4,WARNING
60.8,WARNING
61.2,WARNING
61.6,WARNING
62.0,WARNING
62.4,WARNING
62.8,RUNNING
63.2,RUNNING
63.6,RUNNING
64.0,RUNNING
64.4,RUNNING
64.8,RUNNING
65.2,RUNNING
65.6,RUNNING
66.0,RUNNING
66.4,RUNNING
66.8,RUNNING
67.2,WARNING
67.6,WARNING
68.0,WARNING
68.4,WARNING
68.8,WARNING
69.2,WARNING
69.6,WARNING
70.0,WARNING
70.4,WARNING
70.8,WARNING
71.2,WARNING
71.6,WARNING
72.0,RUNNING
72.4,RUNNING
72.8,RUNNING
73.2,RUNNING
73.6,RUNNING
74.0,RUNNING
74.4,RUNNING
74.8,RUNNING
75.2,RUNNING
75.6,WARNING
76.0,WARNING
76.4,WARNING
76.8,WARNING
77.2,WARNING
77.6,WARNING
78.0,WARNING
78.4,WARNING
78.8,WARNING
79.2,WARNING
79.6,WARNING
80.0,WARNING
80.4,WARNING
80.8,WARNING
81.2,RUNNING
81.6,RUNNING
82.0,RUNNING
82.4,RUNNING
82.8,RUNNING
83.2,RUNNING
83.6,RUNNING
84.0,RUNNING
84.4,RUNNING
84.8,RUNNING
85.2,WARNING
85.6,WARNING
86.0,WARNING
86.4,WARNING
86.8,WARNING
87.2,WARNING
87.6,WARNING
88.0,WARNING
88.4,WARNING
88.8,WARNING
89.2,WARNING
89.6,WARNING
90.0,WARNING
90.4,WARNING
90.8,WARNING
91.2,RUNNING
91.6,RUNNING
92.0,RUNNING
92.4,RUNNING
92.8,RUNNING
93.2,RUNNING
93.6,RUNNING
94.0,RUNNING
94.4,RUNNING
94.8,RUNNING
95.2,RUNNING
95.6,RUNNING
96.0,WARNING
96.4,WARNING
96.8,WARNING
97.2,WARNING
97.6,WARNING
98.0,WARNING
98.4,WARNING
98.8,WARNING
99.2,WARNING
99.6,WARNING
100.0,WARNING
100.4,WARNING
100.8,WARNING
101.2,RUNNING
101.6,RUNNING
102.0,RUNNING
102.4,RUNNING
102.8,RUNNING
103.2,RUNNING
103.6,RUNNING
104.0,RUNNING
104.4,RUNNING
104.8,RUNNING
105.2,WARNING
105.6,WARNING
106.0,WARNING
106.4,WARNING
106.8,WARNING
107.2,WARNING
107.6,WARNING
108.0,WARNING
108.4,WARNING
108.8,WARNING
109.2,WARNING
109.6,WARNING
110.0,WARNING
110.4,RUNNING
110.8,RUNNING
111.2,RUNNING
111.6,RUNNING
112.0,RUNNING
112.4,RUNNING
112.8,RUNNING
113.2,RUNNING
113.6,RUNNING
114.0,RUNNING
114.4,RUNNING
114.8,RUNNING
115.2,RUNNING
115.6,RUNNING
116.0,WARNING
116.4,WARNING
116.8,WARNING
117.2,WARNING
117.6,WARNING
118.0,WARNING
118.4,WARNING
118.8,WARNING
119.2,WARNING
119.6,WARNING
120.0,WARNING
120.4,WARNING
120.8,WARNING
121.2,RUNNING
121.6,RUNNING
122.0,RUNNING
122.4,RUNNING
122.8,RUNNING
123.2,RUNNING
123.6,RUNNING
124.0,RUNNING
124.4,RUNNING
124.8,RUNNING
125.2,RUNNING
125.6,RUNNING
126.0,RUNNING
126.4,RUNNING
126.8,RUNNING
127.2,WARNING
127.6,WARNING
128.0,WARNING
128.4,WARNING
128.8,WARNING
129.2,WARNING
129.6,WARNING
130.0,WARNING
130.4,WARNING
130.8,WARNING
131.2,WARNING
131.6,WARNING
132.0,RUNNING
132.4,RUNNING
132.8,RUNNING
133.2,RUNNING
133.6,RUNNING
134.0,RUNNING
134.4,RUNNING
134.8,RUNNING
135.2,RUNNING
135.6,RUNNING
136.0,RUNNING
136.4,RUNNING
136.8,RUNNING
137.2,RUNNING
137.6,RUNNING
138.0,WARNING
138.4,WARNING
138.8,WARNING
139.2,WARNING
139.6,WARNING
140.0,WARNING
140.4,WARNING
140.8,WARNING
141.2,WARNING
141.6,WARNING
142.0,WARNING
142.4,WARNING
142.8,WARNING
143.2,RUNNING
143.6,RUNNING
144.0,RUNNING
144.4,RUNNING
144.8,RUNNING
145.2,RUNNING
145.6,RUNNING
146.0,RUNNING
146.4,WARNING
146.8,WARNING
147.2,WARNING
147.6,WARNING
148.0,WARNING
148.4,WARNING
148.8,WARNING
149.2,WARNING
149.6,WARNING
150.0,WARNING
150.4,WARNING
150.8,WARNING
151.2,WARNING
151.6,RUNNING
152.0,RUNNING
152.4,RUNNING
152.8,RUNNING
153.2,RUNNING
153.6,RUNNING
154.0,RUNNING
154.4,RUNNING
154.8,RUNNING
155.2,WARNING
155.6,WARNING
156.0,WARNING
156.4,WARNING
