time,temperature,load,vibration,status
0.02,29.92,5.08,0.22,normal
0.04,30.09,5.13,0.25,normal
0.06,30.53,5.09,0.29,normal
0.08,30.38,5.11,0.3,normal
0.1,30.55,5.23,0.29,normal
0.12,30.28,5.05,0.28,normal
0.14,30.26,5.24,0.3,normal
0.16,30.16,5.06,0.29,normal
0.18,30.28,5.24,0.31,normal
0.2,30.54,5.24,0.27,normal
0.22,30.96,5.11,0.27,normal
0.24,31.06,5.11,0.27,normal
0.26,31.22,5.26,0.22,normal
0.28,31.7,5.3,0.22,normal
0.3,31.56,5.19,0.2,normal
0.32,31.74,5.18,0.22,normal
0.34,31.62,5.3,0.24,normal
0.36,31.7,5.45,0.28,normal
0.38,31.34,5.55,0.32,normal
0.4,31.64,5.44,0.36,normal
0.42,32.11,5.45,0.36,normal
0.44,32.4,5.26,0.4,normal
0.46,32.77,5.07,0.44,normal
0.48,32.82,5.16,0.46,normal
0.5,33.24,5.28,0.48,normal
0.52,33.73,5.21,0.51,normal
0.54,33.89,5.4,0.48,normal
0.56,34.15,5.48,0.43,normal
0.58,33.91,5.46,0.45,normal
0.6,34.41,5.57,0.42,normal
0.62,34.24,5.53,0.38,normal
0.64,33.77,5.39,0.35,normal
0.66,33.66,5.39,0.37,normal
0.68,33.66,5.5,0.38,normal
0.7,33.82,5.56,0.38,normal
0.72,34.19,5.45,0.38,normal
0.74,34.57,5.48,0.35,normal
0.76,34.25,5.53,0.35,normal
0.78,34.67,5.53,0.36,normal
0.8,34.63,5.45,0.35,normal
0.82,34.21,5.45,0.32,normal
0.84,33.71,5.64,0.36,normal
0.86,33.88,5.72,0.37,normal
0.88,33.4,5.6,0.38,normal
0.9,33.34,5.6,0.37,normal
0.92,33.46,5.61,0.35,normal
0.94,33.7,5.6,0.34,normal
0.96,33.55,5.77,0.39,normal
0.98,33.4,5.77,0.39,normal
1.0,33.54,5.79,0.35,normal
1.02,33.9,5.76,0.31,normal
1.04,34.14,5.75,0.35,normal
1.06,33.95,5.68,0.36,normal
1.08,34.24,5.66,0.33,normal
1.1,34.66,5.81,0.38,normal
1.12,34.49,5.79,0.4,normal
1.14,34.5,5.94,0.37,normal
1.16,34.55,5.88,0.32,normal
1.18,34.85,5.76,0.3,normal
1.2,35.1,5.85,0.33,normal
1.22,35.39,5.97,0.3,normal
1.24,34.98,5.77,0.26,normal
1.26,34.61,5.77,0.23,normal
1.28,34.66,5.84,0.26,normal
1.3,34.59,5.65,0.23,normal
1.32,34.34,5.71,0.26,normal
1.34,34.25,5.56,0.24,normal
1.36,34.06,5.45,0.24,normal
1.38,34.46,5.4,0.26,normal
1.4,34.55,5.2,0.25,normal
1.42,34.44,5.24,0.28,normal
1.44,34.37,5.38,0.3,normal
1.46,34.02,5.3,0.25,normal
1.48,33.62,5.33,0.26,normal
1.5,33.51,5.28,0.24,normal
1.52,33.67,5.47,0.22,normal
1.54,33.29,5.53,0.22,normal
1.56,33.11,5.57,0.17,normal
1.58,33.03,5.76,0.18,normal
1.6,32.88,5.75,0.14,normal
1.62,32.95,5.81,0.11,normal
1.64,32.69,5.7,0.13,normal
1.66,32.87,5.66,0.1,normal
1.68,32.99,5.75,0.1,normal
1.7,32.88,5.64,0.12,normal
1.72,33.29,5.45,0.13,normal
1.74,33.71,5.26,0.13,normal
1.76,33.5,5.15,0.11,normal
1.78,33.26,5.3,0.15,normal
1.8,33.55,5.43,0.19,normal
1.82,33.68,5.26,0.24,normal
1.84,34.1,5.24,0.21,normal
1.86,33.7,5.29,0.25,normal
1.88,33.94,5.17,0.23,normal
1.9,34.37,5.07,0.23,normal
1.92,34.35,5.09,0.27,normal
1.94,34.1,5.1,0.28,normal
1.96,34.21,5.23,0.29,normal
1.98,34.18,5.21,0.31,normal
2.0,34.24,5.19,0.29,normal
2.02,34.06,5.22,0.25,normal
2.04,33.65,5.08,0.23,normal
2.06,33.87,4.91,0.23,normal
2.08,33.62,4.72,0.22,normal
2.1,33.93,4.73,0.23,normal
2.12,33.92,4.56,0.19,normal
2.14,33.56,4.62,0.21,normal
2.16,33.42,4.58,0.22,normal
2.18,33.07,4.57,0.23,normal
2.2,33.45,4.66,0.27,normal
2.22,33.05,4.65,0.24,normal
2.24,33.14,4.72,0.29,normal
2.26,33.58,4.66,0.28,normal
2.28,33.52,4.52,0.24,normal
2.3,33.7,4.7,0.26,normal
2.32,33.54,4.65,0.26,normal
2.34,33.72,4.7,0.23,normal
2.36,33.33,4.86,0.27,normal
2.38,33.18,4.89,0.27,normal
2.4,33.27,4.72,0.22,normal
2.42,32.9,4.9,0.19,normal
2.44,32.77,4.87,0.22,normal
2.46,33.02,4.76,0.25,normal
2.48,32.67,4.83,0.26,normal
2.5,32.43,4.65,0.23,normal
2.52,32.76,4.84,0.18,normal
2.54,32.39,4.67,0.23,normal
2.56,32.66,4.64,0.23,normal
2.58,32.63,4.69,0.19,normal
2.6,32.22,4.61,0.17,normal
2.62,32.58,4.58,0.16,normal
